timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open,Anomaly
2014-08-22,991933.3758,23844670039.0,13024.33881,66998.65855812836,0,192199,204518,5587.489,157,514.0430298,49444200.0,6812929386.0,517.5809937,0
2014-08-23,782105.2346,23844670039.0,12842.0354,57592.969531157614,0,154541,169967,4420.1209,162,498.0750122,36563900.0,6772889206.0,513.3939819,0
2014-08-24,968617.6712,23844670039.0,12629.96925,56695.5938861444,0,162230,246319,4557.9663,146,508.2860107,25171900.0,6564528885.0,498.2850037,0
2014-08-25,1162126.073,23844670039.0,12646.4621,69895.29081832971,0,195656,208488,8283.2913,137,502.4960022,19441700.0,6700963067.0,508.2200012,0
2014-08-26,978666.0347,23844670039.0,12620.89775,72658.92716772277,0,210338,215466,5821.1027,173,511.5700073,18356700.0,6626339378.0,502.5440063,0
2014-08-27,1015240.071,23844670039.0,12722.91077,74580.15179678008,0,215120,213754,5857.6709,169,511.1530151,23235100.0,6748171027.0,512.1890259,0
2014-08-28,898031.7225,23844670039.0,12898.43369,68628.10234260469,0,187098,223619,5351.4696,173,507.8150024,22648500.0,6744868296.0,510.8840027,0
2014-08-29,846688.4,23844670039.0,12803.33741,68614.7667603635,0,175285,191312,5327.3467,170,508.5169983,19862000.0,6703031046.0,508.4249878,0
2014-08-30,745329.4505,23844670039.0,12724.49607,61213.511674580564,0,163275,191434,4640.3195,182,504.2489929,17624800.0,6714458468.0,508.5899963,0
2014-08-31,718413.6809,23901860904.0,12633.36156,57752.81088712692,0,156912,223276,4485.9503,188,477.7630005,9424070.0,6660385523.0,502.9049988,0
2014-09-01,1185450.765,27428630902.0,12283.04807,70383.33238032438,0,193658,230557,5344.536,136,474.8789978,44632300.0,6312801960.0,477.7869873,0
2014-09-02,1129848.136,27428630902.0,12021.81704,71909.0787562281,0,205488,212488,5559.157,147,477.4259949,20432000.0,6276309535.0,474.4750061,0
2014-09-03,954185.8462,27428630902.0,11981.72276,71867.29056052653,0,199968,201280,5318.8477,169,477.5859985,23337900.0,6311703012.0,476.8710022,0
2014-09-04,999654.4051,27428630902.0,11996.66206,70809.92222884721,0,193564,205128,5358.0646,158,489.6600037,13342200.0,6315859936.0,477.6799927,0
2014-09-05,1091062.262,27428630902.0,12144.87771,68036.87063652514,0,194670,208264,5347.2441,145,483.3420105,26081400.0,6477467310.0,489.6650085,0
2014-09-06,782726.4581,27428630902.0,12198.15105,63368.22632943728,0,170766,188251,4681.015,179,484.8299866,15302500.0,6395641762.0,483.3410034,0
2014-09-07,1009557.342,27428630902.0,12184.91463,60353.04692734043,0,172376,299744,9596.7128,155,482.2780151,10601400.0,6417500778.0,485.1289978,0
2014-09-08,1187081.194,27428630902.0,12187.42654,75767.02944869992,0,210254,220567,5929.4048,144,474.6000061,8994050.0,6385589802.0,481.8110046,0
2014-09-09,1410211.178,27428630902.0,11929.70441,81809.62484877156,0,259778,239736,6709.3225,146,475.2600098,30238000.0,6285637995.0,474.8800049,0
2014-09-10,1228194.369,27428630902.0,11838.82908,72558.41058909867,0,246495,210391,6017.7081,157,479.3590088,21447800.0,6296101902.0,475.4840088,0
2014-09-11,865364.0471,27428630902.0,12056.47642,66026.79095292022,0,179601,196900,4883.5495,170,479.7489929,22787800.0,6352285708.0,479.6170044,0
2014-09-12,969538.8571,27428630902.0,12002.02864,68384.16752587885,0,182908,195316,5124.913,154,477.7529907,16852900.0,6359504769.0,479.5820007,0
