timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open
9/22/2014,1041553.214,29829733124,10064.99552,73289.80787,0,216833,226209,4703.1979,168,402.1520081,26580100,5303651275,399.1000061
9/23/2014,1238303.733,29829733124,10097.69977,77284.06972,0,230064,238741,5129.9362,150,435.7909851,24127600,5349637034,402.0920105
9/24/2014,1142037.026,29829733124,10254.38783,74971.14846,0,216386,243783,5052.4753,156,423.2049866,45099500,5798754889,435.7510071
9/25/2014,1134307.744,30419649105,10706.04023,78523.59113,0,239012,256255,5639.9546,172,411.5740051,30627700,5632911451,423.1560059
9/26/2014,1240459.821,34661425924,10487.18837,72555.50156,0,203869,216112,19790.2912,134,404.4249878,26814400,5479902023,411.4289856
9/27/2014,1169703.672,34661425924,10192.00642,63137.88782,0,192256,214707,4255.3482,134,399.519989,21460800,5386071486,403.5559998
9/28/2014,1314369.785,34661425924,10101.611,62438.90243,0,193937,309798,4336.8962,130,377.1809998,15029300,5322075836,399.4710083
9/29/2014,1290743.416,34661425924,9842.157569,77924.27056,0,220842,213742,4782.3076,137,375.4670105,23613300,5025729375,376.928009
9/30/2014,1188602.797,34661425924,9501.277229,78017.40916,0,222622,243048,4594.1431,153,386.9440002,32497700,5004177243,376.0880127
10/1/2014,1200937.445,34661425924,9558.748671,78779.77829,0,224209,264989,4921.0982,155,383.6149902,34707300,5158621325,387.427002
10/2/2014,1195797.217,34661425924,9670.176895,72085.91594,0,203451,213390,4336.9547,138,375.071991,26229400,5115688242,383.9880066
10/3/2014,1163749.123,34661425924,9542.717584,75094.64449,0,201615,258668,4594.2259,146,359.5119934,21777700,5003085408,375.1809998
10/4/2014,1107291.74,34661425924,9289.985784,66631.59977,0,210708,225285,4656.2469,154,328.8659973,30901200,4796851775,359.8919983
10/5/2014,1072752.284,34661425924,8720.732348,67329.53187,0,207559,317617,4137.4915,169,320.5100098,47236500,4389218291,328.9159851
10/6/2014,1120146.807,34661425924,7971.148548,78050.50936,0,222634,227767,4008.6428,161,330.07901,83308096,4279040870,320.3890076
